directors,averageRating,meanofRatingNum,sumofRatingNum,primaryName,famous1_name,famous2_name,famous3_name
nm0000005,7.5,22110,17666523,Steven Kovacs,The Lady in Red,Deathsport,'68
nm0000008,7.2,8498,195454,Ferd Sebastian,American Angels: Baptism of Blood,On the Air Live with Captain Midnight,The Hitchhikers
nm0000009,5.7,845,15210,Beverly Sebastian,The Hitchhikers,Flash and the Firecat,'Gator Bait
nm0000010,5.8,204,2244,Chris Hegedus,Unlocking the Cage,Only the Strong Survive,The War Room
nm0000018,6.1,1063,29784,D.A. Pennebaker,Startup.com,The War Room,Bob Dylan: Dont Look Back
nm0000019,7.5,22002,10231298,Robert G. Vignola,The Young Diana,Yolanda,Broken Dreams
nm0000024,7.5,375,375,James Cruze,The Great Gabbo,Racetrack,She Got What She Wanted
nm0000032,6.0,888,22206,George B. Seitz,Ransom,The Ice Flood,The Warning
nm0000033,7.3,79437,103586689,Mino Guerrini,Evil Eye,Gli altri racconti di Canterbury,Date for a Murder
nm0000036,7.6,15751,3874989,Ninì Grassia,First Action Hero,Via Lattea... la prima a destra,L'ave Maria (L'artista)
nm0000037,7.1,37366,7547979,Ernest B. Schoedsack,Rango,The Four Feathers,Dr. Cyclops
nm0000040,8.0,345863,131774014,Phil Rosen,Murder by Invitation,Double Alibi,Hold the Press
nm0000041,7.9,49181,30345162,Jack Conway,Red-Headed Woman,The Roughneck,Viva Villa!
nm0000044,6.3,1373,74190,Edgar Neville,La vida en un hilo,The Crime of Bordadores Street,El último caballo
nm0000045,6.8,22199,1198782,Francis Ford Coppola,Apocalypse Now,The Conversation,The Godfather: Part II
nm0000048,7.1,802,6416,Miguel Iglesias,Carta a una mujer,Presage,Barcelona Connection
nm0000056,7.0,2321,213548,Robert F. Hill,Frontier Days,Flying Fists,Shadow of Chinatown
nm0000059,7.2,6481,596254,Richard Thorpe,Galloping On,Between Dangers,Ivanhoe
nm0000063,6.6,2014,32224,Rafael Romero Marchent,Santo Versus Doctor Death,Revenge of the Black Wolf,La boda o la vida
nm0000069,6.5,1454,43620,Jorge Grau,Let Sleeping Corpses Lie,Noche de verano,The Rash One
nm0000076,7.5,16078,8023073,Charles B. Griffith,Little Shop of Horrors,Death Race,The Little Shop of Horrors
nm0000078,6.6,8866,930956,Roger Corman,The Silence of the Lambs,Death Race,Little Shop of Horrors
nm0000080,7.3,46066,18841038,BJ McDonnell,The Darkest Hour,Death Race,Rampage
nm0000086,6.7,3506,49084,Paul W.S. Anderson,Event Horizon,Death Race,Resident Evil: Apocalypse
nm0000091,5.6,12945,1462841,Jacques Jaccard,Liberty,The Red Ace,The Lion's Claws
nm0000092,7.6,121397,4006101,Raoul Walsh,The Thief of Bagdad,Going Hollywood,Sadie Thompson
nm0000095,7.1,67120,68126939,Hans Billian,Im Liebesnest der Hippiemädchen,Zimmermädchen machen es gern,Übermut im Salzkammergut
nm0000102,5.5,2920,26280,Greydon Clark,Angels' Brigade,Final Justice,Black Shampoo
nm0000104,6.1,4746,123414,Robert Gordon,Thunder in the Pines,The Jazz Singer,Black Eagle
nm0000106,6.9,60890,1461360,Bert I. Gordon,King Dinosaur,The Cyclops,Tormented
nm0000108,6.7,175113,68469551,Doro Vlado Hreljanovic,Mako: The Jaws of Death,War of the Planets,The Elm-Chanted Forest
nm0000110,6.6,140428,37915813,Franz Josef Gottlieb,The Black Abbot,Kingdom of the Silver Lion,Mister Dynamit - Morgen küßt euch der Tod
nm0000114,6.7,11023,507094,R.J. Kizer,War for the Planet of the Apes,Planet of the Apes,Inception
nm0000115,5.7,3812,26684,Hans Steinhoff,The Making of a King,"Robert Koch, der Bekämpfer des Todes",Uncle Kruger
nm0000116,7.4,542760,144916952,Juan Piquer Simón,The Rift,Mystery on Monster Island,Slugs
nm0000118,6.9,98679,37498217,Aaron Lipstadt,Android,City Limits,Escape from New York
nm0000122,7.9,72187,28369550,Donald P. Borchers,The Fog,Children of the Corn,Escape from New York
nm0000123,6.6,99627,16538108,George Kaczender,The Girl in Blue,Agency,In Praise of Older Women
nm0000125,7.6,39,39,Wesley Ruggles,Street Girl,London Town,Cimarron
nm0000126,6.7,62569,3065901,Spencer Gordon Bennet,Snowed In,The House Without a Key,The Mysterious Pilot
nm0000127,6.1,61898,25935282,Ilmari Unho,Kuollut mies rakastuu,Kalle-Kustaa Korkin seikkailut,Kartanon naiset
nm0000128,7.1,63625,1781508,Will Zens,Capture That Capsule,To the Shores of Hell,Trucker's Woman
nm0000134,6.7,93829,2627212,James Landis,Rat Fink,The Sadist,Stakeout!
nm0000136,6.3,8160,155042,Wolfgang Becker,Child's Play,Life is All You Get,Good Bye Lenin!
nm0000142,7.1,123441,113072185,Alberto De Martino,"Duck, You Sucker",The Pumaman,The Secret Seven
nm0000146,6.3,15062,647699,Charles B. Pierce,Boggy Creek II: And the Legend Continues,Sudden Impact,The Norseman
nm0000147,5.3,15,15,Sondra Locke,The Gauntlet,Sudden Impact,Bronco Billy
nm0000149,6.6,64970,3898200,Steven Ramirez,Driving Miss Daisy,Big Trouble in Little China,Goosebumps
nm0000154,7.7,377336,59241787,Roy Del Ruth,On the Avenue,Red Light,It Happened on Fifth Avenue
nm0000155,8.0,225,900,Fred Niblo,The Enemy,The Artist,The Red Lily
nm0000158,6.1,58214,1571778,Barbara Peeters,Summer School Teachers,Bury Me an Angel,Caged Desires
nm0000160,6.0,2008,40164,Hamilton Luske,Peter Pan,Pinocchio,Cinderella
nm0000162,4.9,104,104,Wilfred Jackson,Cinderella,Alice in Wonderland,Snow White and the Seven Dwarfs
nm0000163,7.1,13166,631972,Steven Paul,Ghost Rider,Ghost in the Shell,Doomsday
nm0000164,5.1,4441,48851,Neil Marshall,Dog Soldiers,Centurion,Doomsday
nm0000169,7.1,33349,1300635,Peter Jackson,King Kong,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Fellowship of the Ring
nm0000174,7.8,16,16,Ian Mune,Came a Hot Friday,The End of the Golden Weather,The Lord of the Rings: The Fellowship of the Ring
nm0000175,5.4,27199,516781,Joe D'Amato,2020 Texas Gladiators,"Ator, the Fighting Eagle",Emanuelle's Revenge
nm0000180,7.6,50129,21054274,Philippe Blot,Born Wild,Hot Blood,The Arrogant
nm0000184,7.4,614866,128507047,William James Craft,The Galloping Cowboy,The Silent Flyer,The Radio Detective
nm0000185,5.2,2652,233403,W.S. Van Dyke,The Thin Man,Wyoming,Marie Antoinette
nm0000187,6.0,7269,196263,Edward D. Wood Jr.,Glen or Glenda,Jail Bait,Plan 9 from Outer Space
nm0000191,6.1,12577,276694,Paul Leder,Goin' to Chicago,The Eleventh Commandment,My Friends Need Killing
nm0000196,7.4,3006,9018,Edmond Keosayan,The Canyon of Deserted Tales,Tghamardik,Novye priklyucheniya neulovimykh
nm0000197,5.7,4832,285133,Abbas Rafei,Butterfly in the Wind,The Meeting,Oblivion Season
nm0000198,7.4,7883,78830,Darren Doane,Black Friday,42K,Godmoney
nm0000199,7.0,2169,23860,Lee Daniels,The Woodsman,Precious,Lee Daniels' The Butler
nm0000200,7.4,50650,2177983,David Dilley,The Black Dahlia,Suspicion,Warrior
nm0000202,5.5,2492,17444,Gavin O'Connor,Tumbleweeds,The Accountant,Warrior
nm0000204,6.0,2951,41314,Jon M. Chu,Step Up 2: The Streets,G.I. Joe: Retaliation,Justin Bieber: Never Say Never
nm0000206,6.1,32492,389904,Stephen S. Campanelli,Mystic River,"Three Billboards Outside Ebbing, Missouri",The Maze Runner
nm0000209,6.9,8482,127230,Spike Lee,She's Gotta Have It,Malcolm X,Do the Right Thing
nm0000212,5.5,2122,8488,Ezio Greggio,Screw Loose,Giovanna's Father,The Silence of the Hams
nm0000217,7.6,296876,200985578,Wladyslaw Pasikowski,Kroll,Pigs,Jack Strong
nm0000219,4.5,20549,554823,Nicole Holofcener,Friends with Money,Can You Ever Forgive Me?,Enough Said
nm0000228,6.7,13938,167256,Calum Grant,Hereafter,San Andreas,Enough Said
nm0000229,7.4,360252,363494877,Emilio Estevez,The Way,Bobby,The Public
nm0000230,6.6,163753,34060707,Max Kleven,Back to the Future,Spider-Man,Species
nm0000231,6.8,109200,47829858,Doug Lefler,X-Men: Days of Future Past,Spider-Man,The Last Legion
nm0000233,8.0,782768,246571981,Mark Andrews,Brave,Spider-Man,John Carter
nm0000241,7.5,1189,4758,David Koepp,Stir of Echoes,Spider-Man,Mission: Impossible
nm0000243,7.4,58675,2405675,J.C. Calciano,The 10 Year Plan,eCupid,Mission: Impossible
nm0000247,6.6,78631,25555235,George Bamber,Men in Black II,Wild Wild West,The Mostly Unfabulous Social Life of Ethan Green
nm0000248,4.0,12051,939978,Charles S. Dutton,Alien³,Rudy,A Time to Kill
nm0000252,3.2,11,44,Susannah Grant,The 5th Wave,Pocahontas,Ever After: A Cinderella Story
nm0000255,7.7,351841,27443640,Andy Tennant,Fool's Gold,Sweet Home Alabama,Ever After: A Cinderella Story
nm0000264,7.2,44123,15796270,Sinisa Dragin,9:06,Everyday God Kisses Us on the Mouth,The Pharaoh
nm0000265,6.6,16196,8924283,Mat Whitecross,Ashes,A Mighty Heart,The Road to Guantanamo
nm0000269,7.2,61444,15729716,Michael Winterbottom,Everyday,A Mighty Heart,A Summer in Genoa
nm0000272,5.4,146,2347,Martin Campbell,GoldenEye,The Mask of Zorro,Casino Royale
nm0000273,6.5,1495,38878,Stéphane Foenkinos,Delicacy,Midnight in Paris,Casino Royale
nm0000274,4.8,4999,44998,Anne Marie Stein,Never Say Never Again,The Mask of Zorro,The Abyss
nm0000275,6.4,1036,5180,Newt Arnold,Bloodsport,The Godfather: Part II,The Abyss
nm0000277,7.1,38106,7621295,Steve Beck,Thir13en Ghosts,Ghost Ship,The Abyss
nm0000278,6.7,2458,39328,Antonio Banderas,The 13th Warrior,The Mask of Zorro,Once Upon a Time in Mexico
nm0000285,5.5,4563,73008,L.Q. Jones,A Boy and His Dog,The Mask of Zorro,The Edge
nm0000299,3.8,885,8852,Tom Pevsner,GoldenEye,Octopussy,For Your Eyes Only
nm0000306,5.9,76,152,Tom Ford,Nocturnal Animals,A Single Man,Quantum of Solace
nm0000316,7.2,78393,17638456,Daniel Petrie Jr.,Toy Soldiers,The Big Easy,Beverly Hills Cop
nm0000318,7.0,240248,104508097,Hark Tsui,Flying Swords of Dragon Gate,Once Upon a Time in China,Detective Dee: The Mystery of the Phantom Flame
nm0000320,7.5,9853,4660840,Rachid Bouchareb,Days of Glory,London River,Little Senegal
nm0000329,6.9,14123,3643979,Roschdy Zem,Bad Faith,Omar Killed Me,The Cold Light of Day
nm0000332,6.4,8359,91949,Yoshihiro Fukagawa,Into the White Night,Sakurada Reset Part II,Yougashiten koandoru
