group,variable,value
Action,Adult,5.28
Action,Adventure,6.19
Action,Animation,6.71
Action,Biography,7.07
Action,Comedy,6.11
Action,Crime,6.23
Action,Documentary,7.35
Action,Drama,6.19
Action,Family,5.68
Action,Fantasy,5.66
Action,Film-Noir,5.8
Action,History,6.33
Action,Horror,5.42
Action,Music,6.24
Action,Musical,6.56
Action,Mystery,6.4
Action,Reality-TV,7.1
Action,Romance,5.87
Action,Sci-Fi,5.59
Action,Sport,4.72
Action,Thriller,5.68
Action,War,5.66
Action,Western,6.37
Adult,Adventure,5.69
Adult,Biography,5.52
Adult,Comedy,5.79
Adult,Crime,5.72
Adult,Documentary,6.1
Adult,Drama,5.79
Adult,Fantasy,5.94
Adult,History,7.9
Adult,Horror,5.0
Adult,Music,5.8
Adult,Mystery,6.42
Adult,Romance,5.98
Adult,Sci-Fi,5.85
Adult,Sport,6.65
Adult,Thriller,5.53
Adult,Western,5.24
Adventure,Animation,6.73
Adventure,Biography,6.73
Adventure,Comedy,6.3
Adventure,Crime,6.07
Adventure,Documentary,7.13
Adventure,Drama,6.64
Adventure,Family,6.6
Adventure,Fantasy,5.64
Adventure,Film-Noir,6.67
Adventure,History,6.27
Adventure,Horror,5.58
Adventure,Music,6.02
Adventure,Musical,6.35
Adventure,Mystery,6.48
Adventure,Romance,6.32
Adventure,Sci-Fi,5.72
Adventure,Sport,7.47
Adventure,Thriller,6.02
Adventure,War,6.18
Adventure,Western,6.02
Animation,Biography,7.58
Animation,Comedy,6.64
Animation,Crime,7.05
Animation,Documentary,7.03
Animation,Drama,7.33
Animation,Family,6.55
Animation,Fantasy,6.48
Animation,History,8.3
Animation,Horror,7.24
Animation,Musical,7.6
Animation,Mystery,5.3
Animation,Romance,7.8
Animation,Sci-Fi,6.23
Animation,Sport,4.0
Biography,Comedy,6.98
Biography,Crime,7.11
Biography,Documentary,7.35
Biography,Drama,6.96
Biography,Family,6.81
Biography,Fantasy,7.26
Biography,History,6.62
Biography,Horror,5.3
Biography,Music,6.68
Biography,Musical,6.42
Biography,Romance,6.6
Biography,Sci-Fi,6.66
Biography,Sport,5.93
Biography,Thriller,6.88
Biography,War,6.88
Biography,Western,6.3
Comedy,Crime,6.45
Comedy,Documentary,6.89
Comedy,Drama,6.62
Comedy,Family,5.87
Comedy,Fantasy,6.23
Comedy,History,6.64
Comedy,Horror,5.6
Comedy,Music,6.38
Comedy,Musical,6.49
Comedy,Mystery,6.42
Comedy,News,5.7
Comedy,Romance,6.29
Comedy,Sci-Fi,5.62
Comedy,Sport,6.03
Comedy,Thriller,5.94
Comedy,War,6.37
Comedy,Western,6.12
Crime,Documentary,7.58
Crime,Drama,6.71
Crime,Family,5.84
Crime,Fantasy,5.27
Crime,Film-Noir,7.16
Crime,History,6.59
Crime,Horror,5.83
Crime,Music,6.56
Crime,Musical,6.46
Crime,Mystery,6.5
Crime,Romance,5.93
Crime,Sci-Fi,5.46
Crime,Sport,5.8
Crime,Thriller,6.41
Crime,War,5.94
Crime,Western,6.46
Documentary,Drama,7.16
Documentary,Family,7.29
Documentary,Fantasy,7.65
Documentary,History,7.44
Documentary,Horror,6.0
Documentary,Music,7.2
Documentary,Musical,7.08
Documentary,Mystery,6.81
Documentary,News,7.46
Documentary,Reality-TV,7.44
Documentary,Romance,6.78
Documentary,Sci-Fi,7.27
Documentary,Short,5.2
Documentary,Sport,7.31
Documentary,Thriller,7.15
Documentary,War,7.27
Documentary,Western,7.01
Drama,Family,6.87
Drama,Fantasy,6.65
Drama,Film-Noir,7.1
Drama,History,6.88
Drama,Horror,6.15
Drama,Music,6.77
Drama,Musical,6.58
Drama,Mystery,6.75
Drama,News,8.2
Drama,Romance,6.76
Drama,Sci-Fi,6.52
Drama,Sport,6.75
Drama,Thriller,6.42
Drama,War,6.88
Drama,Western,6.72
Family,Fantasy,6.47
Family,History,5.8
Family,Horror,5.55
Family,Music,5.39
Family,Musical,6.45
Family,Mystery,5.47
Family,Romance,6.3
Family,Sci-Fi,6.7
Family,Sport,5.98
Family,Thriller,7.43
Family,War,6.6
Family,Western,5.78
Fantasy,History,6.65
Fantasy,Horror,6.0
Fantasy,Music,7.32
Fantasy,Musical,6.4
Fantasy,Mystery,5.87
Fantasy,Romance,6.25
Fantasy,Sci-Fi,6.74
Fantasy,Thriller,4.61
Fantasy,Western,5.2
Film-Noir,Horror,6.22
Film-Noir,Mystery,7.43
Film-Noir,Romance,6.5
Film-Noir,Thriller,7.29
History,Horror,5.45
History,Music,6.93
History,Musical,6.83
History,Mystery,5.3
History,Romance,6.71
History,Sci-Fi,2.4
History,Thriller,6.05
History,War,6.06
History,Western,6.48
Horror,Music,5.08
Horror,Musical,5.76
Horror,Mystery,5.84
Horror,Romance,5.4
Horror,Sci-Fi,5.51
Horror,Sport,3.9
Horror,Thriller,5.37
Horror,War,3.83
Horror,Western,5.27
Music,Musical,4.86
Music,Mystery,5.89
Music,Romance,5.97
Music,Sci-Fi,5.7
Music,War,6.4
Music,Western,6.41
Musical,Mystery,6.67
Musical,Romance,6.42
Musical,Sci-Fi,5.5
Musical,Sport,5.8
Musical,Thriller,6.8
Musical,War,6.6
Musical,Western,5.89
Mystery,Romance,6.73
Mystery,Sci-Fi,6.12
Mystery,Sport,5.8
Mystery,Thriller,6.45
Mystery,Western,6.62
Romance,Sci-Fi,6.16
Romance,Sport,7.67
Romance,Thriller,6.17
Romance,War,6.17
Romance,Western,6.34
Sci-Fi,Thriller,5.95
Sci-Fi,War,3.8
Sci-Fi,Western,6.05
Sport,Thriller,5.42
Sport,Western,5.95
Thriller,War,6.96
Thriller,Western,6.66
War,Western,6.28
